run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id
5,True,15.12,19.87640493,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.7588495749999,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.78434419,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.7737110329999,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.8475030899999,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.8094563900002,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.8138417579999,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.9376121929999,189,0.219142718616356,2.5,-8,none,
5,True,15.12,19.827339902,189,0.219142718616356,2.5,-8,none,
6,True,14.56,21.035812656,182,0.209638282532689,-4,0,none,
6,True,14.56,21.102308708,182,0.209638282532689,-4,0,none,
6,True,14.56,21.4037276930001,182,0.209638282532689,-4,0,none,
6,True,14.56,21.0039569830001,182,0.209638282532689,-4,0,none,
6,True,14.56,21.0695995580002,182,0.209638282532689,-4,0,none,
6,True,14.56,20.926708774,182,0.209638282532689,-4,0,none,
6,True,14.56,20.961521773,182,0.209638282532689,-4,0,none,
6,True,14.56,20.9577023209999,182,0.209638282532689,-4,0,none,
6,True,14.56,20.9265714620001,182,0.209638282532689,-4,0,none,
6,True,14.56,20.9457932579999,182,0.209638282532689,-4,0,none,
7,True,11.36,14.9662814259998,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.127041295,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.144406076,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.1427842149999,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.030482849,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.0819366599999,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.174040915,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.1835978329996,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.057878008,142,0.23987043905584,0,9.8,none,
7,True,11.36,15.0620636060003,142,0.23987043905584,0,9.8,none,
8,True,18.64,26.1652447320002,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.2403212579998,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.105194534,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.0655218459997,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.0979271810002,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.2340355459996,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.0108709750002,233,0.243977351733947,4,-9.5,none,
8,True,18.64,27.9664981219998,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.9037030520003,233,0.243977351733947,4,-9.5,none,
8,True,18.64,26.0782408710002,233,0.243977351733947,4,-9.5,none,
9,True,15.6,23.0476255170001,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.46583947,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.2227242150002,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.1675481420002,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.1746537580002,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.1846484929997,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.2089980619999,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.817517255,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,22.8332177039997,195,0.24345254771488,-4.4,-5,none,
9,True,15.6,23.5339614730001,195,0.24345254771488,-4.4,-5,none,
