run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id,reason,,run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y,collision_type,collision_id,reason
8,True,17.76,21.7852209900002,222,0.236785049765584,4,-9.5,none,,,,,,,,,,,,,,
8,True,21.36,27.3601170190004,267,0.249142799597795,4,-9.5,none,,,,,,,,,,,,,,
8,True,21.04,28.4176927359995,263,0.245826353156318,4,-9.5,none,,,,,,,,,,,,,,
8,True,18,24.4267538350005,225,0.241758473739808,4,-9.5,none,,,,,,,,,,,,,,
8,True,18.32,22.7550793400005,229,0.249358414891978,4,-9.5,none,,,,,,,,,,,,,,
9,True,15.6,18.0164136100002,195,0.244571862920186,-4.4,-5,none,,,,,,,,,,,,,,
9,True,17.68,21.448202044,221,0.227792113328606,-4.4,-5,none,,,,,,,,,,,,,,
9,True,15.76,18.3209660500006,197,0.244202146364499,-4.4,-5,none,,,,,,,,,,,,,,
9,False,11.04,13.1668133009998,138,7.59280608271827,-4.4,-5,moving,26,,,,,,,,,,,,,
9,True,15.68,18.2697816079999,196,0.233939668037969,-4.4,-5,none,,,,,,,,,,,,,,
9,True,18.72,24.4215869540003,234,0.23469524134505,-4.4,-5,none,,,,,,,,,,,,,,
9,True,16.16,18.8685410159997,202,0.234978197998842,-4.4,-5,none,,,,,,,,,,,,,,
9,True,15.6,18.1936324660001,195,0.234888120517293,-4.4,-5,none,,,,,,,,,,,,,,
9,True,15.76,18.3256830660002,197,0.24810758767567,-4.4,-5,none,,,,,,,,,,,,,,
9,True,15.52,18.1092338130002,194,0.233773753565853,-4.4,-5,none,,,,,,,,,,,,,,
10,True,12.48,14.7793891780002,156,0.239871536533705,2,-3.4,none,,,,,,,,,,,,,,
10,True,14.16,16.6623055379996,177,0.237947643141522,2,-3.4,none,,,,,,,,,,,,,,
10,True,12.56,14.7913303389996,157,0.246499348254046,2,-3.4,none,,,,,,,,,,,,,,
10,True,13.52,15.988333065,169,0.24080779716714,2,-3.4,none,,,,,,,,,,,,,,
10,True,12.56,14.7995963519998,157,0.244510453443299,2,-3.4,none,,,,,,,,,,,,,,
10,True,14.08,16.5835434420005,176,0.245345968888602,2,-3.4,none,,,,,,,,,,,,,,
10,True,12.64,14.866009757,158,0.243904432257286,2,-3.4,none,,,,,,,,,,,,,,
10,True,13.28,15.5291902980007,166,0.241730693066677,2,-3.4,none,,,,,,,,,,,,,,
10,True,12.8,15.1171949359996,160,0.244562289389323,2,-3.4,none,,,,,,,,,,,,,,
10,True,12.64,14.8723142499994,158,0.241329874404798,2,-3.4,none,,,,,,,,,,,,,,
,71.00%,,,,,,,,,,,,,,,,,,,,,
