run,success,sim_time_s,wall_time_s,steps,final_dist,goal_x,goal_y
8,True,18.48,26.7157698769988,231,0.248319462417738,4,-9.5
9,True,15.68,22.8154587739991,196,0.240124624281302,-4.4,-5
10,False,80,126.399601844001,1000,0.507305981478657,9.5,-8
1,True,21.12,33.7690039619993,264,0.242486991519878,-8,-9.5
2,True,14.56,19.7377562889997,182,0.23095329978737,-5.5,8
3,True,9.44,12.4110245280026,118,0.239612630026911,9.6,3
4,True,18.64,27.8168430170008,233,0.239621625927484,-6.25,-8
5,True,15.12,20.2393448009971,189,0.231637340021764,2.5,-8
6,False,10.48,16.7615879999976,131,3.18693516285328,-4,0
7,False,5.92,9.36859468200055,74,3.812453410435,0,9.8
8,True,18.48,26.2722756099974,231,0.248319462417738,4,-9.5
9,True,15.68,22.5588390650009,196,0.240124624281302,-4.4,-5
10,False,80,126.536216480999,1000,0.507305981478657,9.5,-8
1,True,21.12,34.0259745229996,264,0.242486991519878,-8,-9.5
2,True,14.56,19.7468216009984,182,0.23095329978737,-5.5,8
3,True,9.44,12.6901799330008,118,0.239612630026911,9.6,3
4,True,18.64,28.2596442389986,233,0.239621625927484,-6.25,-8
5,True,15.12,20.2092166980001,189,0.231637340021764,2.5,-8
6,False,10.48,16.7651598750017,131,3.18693516285328,-4,0
7,False,5.92,9.14980652099985,74,3.812453410435,0,9.8
8,True,18.48,25.9844064900026,231,0.248319462417738,4,-9.5
9,True,15.68,22.2559706110005,196,0.240124624281302,-4.4,-5
10,False,80,124.747385226001,1000,0.507305981478657,9.5,-8
,,,,,,,
,70,,,,,,
